path,tag
data_imp/indigo_audio_new/24b01713-23b5-4a84-b1c3-13f83a5b6bf2.wav,"[{'type': 'SPEECH', 'time-range': [0.0, 0.6]}, {'type': 'SPEECH', 'time-range': [13.7, 14.46]}, {'type': 'SPEECH', 'time-range': [14.74, 15.76]}]"
data_imp/indigo_audio_new/11907f71-ece7-417f-b2a7-0982651c2438.wav,"[{'type': 'SPEECH', 'time-range': [0.0, 0.36]}]"
data_imp/indigo_audio_new/b6cd78d4-a327-4729-a892-f5a4fa1fdfa3.wav,"[{'type': 'SPEECH', 'time-range': [0.0, 0.3]}, {'type': 'SPEECH', 'time-range': [0.6, 1.06]}, {'type': 'SPEECH', 'time-range': [8.64, 9.76]}, {'type': 'SPEECH', 'time-range': [12.18, 12.58]}]"
data_imp/indigo_audio_new/9cd3a7c4-03f5-46ea-85e3-9310bb4fdfde.wav,"[{'type': 'SPEECH', 'time-range': [0.0, 0.22]}]"
data_imp/indigo_audio_new/05bf60b0-d8df-407a-85bf-e1b3062044fd.wav,"[{'type': 'SPEECH', 'time-range': [0.0, 0.28]}, {'type': 'SPEECH', 'time-range': [0.6, 1.38]}, {'type': 'SPEECH', 'time-range': [4.3, 4.66]}, {'type': 'SPEECH', 'time-range': [4.7, 5.16]}, {'type': 'SPEECH', 'time-range': [5.34, 5.96]}, {'type': 'SPEECH', 'time-range': [9.6, 10.04]}, {'type': 'SPEECH', 'time-range': [10.2, 11.02]}]"
data_imp/indigo_audio_new/290401bb-280a-4f67-97f8-cf8a76cc2ab8.wav,"[{'type': 'SPEECH', 'time-range': [0.0, 13.52]}, {'type': 'NON-SPEECH', 'time-range': [1.68, 6.82]}, {'type': 'NON-SPEECH', 'time-range': [6.88, 13.52]}, {'type': 'SPEECH', 'time-range': [13.88, 15.26]}, {'type': 'NON-SPEECH', 'time-range': [13.94, 15.26]}]"
data_imp/indigo_audio_new/e9b5a636-e68b-49a2-80df-c6374e5b07cb.wav,"[{'type': 'SPEECH', 'time-range': [0.0, 1.62]}, {'type': 'SPEECH', 'time-range': [2.1, 2.5]}, {'type': 'SPEECH', 'time-range': [2.64, 3.48]}, {'type': 'SPEECH', 'time-range': [3.74, 4.08]}, {'type': 'SPEECH', 'time-range': [4.48, 5.26]}, {'type': 'SPEECH', 'time-range': [6.9, 7.26]}, {'type': 'SPEECH', 'time-range': [7.46, 9.72]}]"
data_imp/indigo_audio_new/64ad7ffe-978c-4abc-825b-4d92a776d7a4.wav,"[{'type': 'SPEECH', 'time-range': [0.04, 0.84]}, {'type': 'SPEECH', 'time-range': [8.46, 9.28]}]"
data_imp/indigo_audio_new/2d709521-2354-4f27-8503-54a30944943c.wav,"[{'type': 'SPEECH', 'time-range': [0.04, 0.62]}, {'type': 'SPEECH', 'time-range': [0.86, 1.6]}, {'type': 'SPEECH', 'time-range': [10.08, 10.58]}, {'type': 'SPEECH', 'time-range': [11.04, 11.58]}]"
data_imp/indigo_audio_new/2fa68de9-8543-4e6d-8066-e37a987d1ac6.wav,"[{'type': 'SPEECH', 'time-range': [0.04, 0.92]}, {'type': 'NON-SPEECH', 'time-range': [8.72, 12.56]}, {'type': 'SPEECH', 'time-range': [10.4, 12.62]}, {'type': 'SPEECH', 'time-range': [12.7, 15.1]}]"
data_imp/indigo_audio_new/6a3085ef-b5ff-4ece-a8f6-71a265655ba3.wav,"[{'type': 'SPEECH', 'time-range': [0.04, 1.22]}]"
data_imp/indigo_audio_new/c8a1e6f0-b170-493a-a0a3-9f8bc6bba42b.wav,"[{'type': 'NON-SPEECH', 'time-range': [0.04, 26.0]}]"
data_imp/indigo_audio_new/8ef995d6-f567-482c-bef7-c00cd8a4d2ed.wav,"[{'type': 'SPEECH', 'time-range': [0.04, 0.5]}, {'type': 'SPEECH', 'time-range': [4.94, 5.72]}, {'type': 'SPEECH', 'time-range': [7.12, 8.120000000000001]}, {'type': 'NON-SPEECH', 'time-range': [8.82, 11.2]}, {'type': 'SPEECH', 'time-range': [8.88, 11.28]}]"
data_imp/indigo_audio_new/16ae40ff-1b4b-43f4-8f19-ec8e419fb7fa.wav,"[{'type': 'SPEECH', 'time-range': [0.06, 0.92]}, {'type': 'SPEECH', 'time-range': [1.06, 1.52]}, {'type': 'SPEECH', 'time-range': [3.8, 5.54]}, {'type': 'SPEECH', 'time-range': [5.58, 9.1]}]"
data_imp/indigo_audio_new/46d3d641-1820-404a-bc1c-6ef1a36c786f.wav,"[{'type': 'SPEECH', 'time-range': [0.06, 3.3200000000000003]}, {'type': 'NON-SPEECH', 'time-range': [3.66, 4.5200000000000005]}, {'type': 'SPEECH', 'time-range': [3.7, 8.26]}, {'type': 'NON-SPEECH', 'time-range': [4.64, 8.3]}, {'type': 'NON-SPEECH', 'time-range': [8.68, 18.2]}, {'type': 'SPEECH', 'time-range': [8.76, 18.32]}]"
data_imp/indigo_audio_new/a70b6c43-6114-44e4-86a6-977eb8037ee8.wav,"[{'type': 'SPEECH', 'time-range': [0.06, 0.48]}, {'type': 'SPEECH', 'time-range': [7.4, 9.0]}, {'type': 'SPEECH', 'time-range': [9.38, 9.7]}]"
data_imp/indigo_audio_new/30e1d521-61b6-46e9-ba46-9462c1e1c1be.wav,"[{'type': 'SPEECH', 'time-range': [0.06, 0.44]}, {'type': 'NON-SPEECH', 'time-range': [7.5, 9.1]}, {'type': 'SPEECH', 'time-range': [7.54, 9.2]}]"
data_imp/indigo_audio_new/646d9823-4713-4e71-a7a6-69f51d6ebab3.wav,"[{'type': 'SPEECH', 'time-range': [0.06, 0.28]}, {'type': 'SPEECH', 'time-range': [0.44, 1.0]}, {'type': 'SPEECH', 'time-range': [2.24, 3.12]}, {'type': 'SPEECH', 'time-range': [3.3000000000000003, 3.8]}, {'type': 'SPEECH', 'time-range': [6.0600000000000005, 8.84]}]"
data_imp/indigo_audio_new/4285c2b6-029d-45ac-969e-e0fb5c207f50.wav,"[{'type': 'SPEECH', 'time-range': [0.06, 0.36]}, {'type': 'SPEECH', 'time-range': [6.96, 7.56]}]"
data_imp/indigo_audio_new/7a650096-5f12-4ce5-9051-dee0de3a3f6b.wav,"[{'type': 'SPEECH', 'time-range': [0.08, 1.86]}, {'type': 'SPEECH', 'time-range': [6.72, 7.34]}]"
data_imp/indigo_audio_new/33e4d3b8-3add-4d9d-84eb-057f66c49d01.wav,"[{'type': 'NON-SPEECH', 'time-range': [0.1, 1.06]}, {'type': 'NON-SPEECH', 'time-range': [1.56, 2.12]}, {'type': 'NON-SPEECH', 'time-range': [2.22, 3.18]}, {'type': 'NON-SPEECH', 'time-range': [3.3000000000000003, 5.9]}]"
data_imp/indigo_audio_new/727bdc40-3040-4b5c-b8f4-5c93ffe3c635.wav,"[{'type': 'NON-SPEECH', 'time-range': [0.1, 3.12]}, {'type': 'NON-SPEECH', 'time-range': [6.62, 9.66]}, {'type': 'NON-SPEECH', 'time-range': [10.38, 11.54]}, {'type': 'NON-SPEECH', 'time-range': [11.98, 17.48]}, {'type': 'NON-SPEECH', 'time-range': [18.86, 19.4]}, {'type': 'NON-SPEECH', 'time-range': [28.94, 29.96]}, {'type': 'SPEECH', 'time-range': [33.42, 35.08]}]"
